Block,Values
1,0.10357300275150931
2,0.10633884723797449
3,0.10577997512706566
4,0.10425259087310537
5,0.09685116769467753
6,0.10528896769635913
7,0.10080256035258417
8,0.10201156740725552
9,0.10005070609534705
10,0.10450262225486476
11,0.10322594885109457
12,0.10124901951849949
13,0.10503664299465416
14,0.09767111117096017
15,0.10015716888875179
16,0.09891316041963139
17,0.09947415922058442
18,0.10551636692773912
19,0.09152977495809544
20,0.102691911781274
