Block,Values
1,0.46081335992989325
2,0.4609151304483709
3,0.4720785482644449
4,0.4579108210529435
5,0.44848220755972945
6,0.4725598166049182
7,0.44141712438187125
8,0.44922735878685427
9,0.44948166444734755
10,0.44110057553645277
11,0.4856188613018733
12,0.45582857388061265
13,0.4459272628987305
14,0.5096404625440101
15,0.45439769222097676
16,0.4716713333188789
17,0.45549958480802866
18,0.4439655931706563
19,0.4611971951527773
20,0.4498420645815437
21,0.4432392437920914
22,0.4219560774494921
23,0.478285883758038
24,0.4369467145709059
25,0.44776742101084654
26,0.4299691440895685
27,0.43870952329675633
28,0.4449657176797232
29,0.4313995110921847
30,0.3963722840307263
31,0.4245366085433693
32,0.4325060173987045
33,0.4085215584280919
34,0.4090877193335575
35,0.4239414239128742
36,0.4042617460866392
37,0.4310602471347109
38,0.43295720080132893
39,0.498171700278215
40,0.4609455921993264
41,0.42446487282822337
42,0.45467144581216806
43,0.4247818746438525
44,0.42922008971781045
45,0.4266219238853333
46,0.45596068041744264
47,0.46464877694858964
48,0.4387627994324546
49,0.4335841731765917
50,0.40147825489822625
51,0.41701194238783407
52,0.45112175756454087
53,0.42223092196639017
54,0.4457380541014093
55,0.4330756898782233
56,0.4058719047956345
57,0.4375484881116157
58,0.45675519979505624
59,0.4849606763751839
60,0.4376203815332308
61,0.5019733127631298
62,0.5129569513493076
63,0.49082305365328754
64,0.5071540320218344
65,0.49218167905586785
66,0.4569070960931146
67,0.45139169842928656
68,0.4298523335050972
69,0.44520792592489905
70,0.42124267468507837
71,0.44211467398071413
72,0.4159736674081277
73,0.44119661750665357
74,0.43048286538415426
75,0.4066950597285173
76,0.41083616328213457
77,0.3993277839679499
78,0.4333179145583796
79,0.4598646396662451
80,0.4161002134809846
81,0.44414076882187176
82,0.4733015863121022
83,0.43305704210266727
84,0.4342808854682346
85,0.4102828927930536
86,0.39885401477080484
87,0.46072116448211076
88,0.3539708745618276
89,0.4087868499572219
90,0.4447306817467856
91,0.5004472959161678
92,0.3655111893826389
93,0.40837466490451013
94,0.41950189834606505
95,0.4174815421055831
96,0.4420436914005161
97,0.4031192026071142
98,0.4571837243478355
99,0.4102919061510101
100,0.42663357508646294
101,0.42092031011738407
102,0.39831276154156026
103,0.41734530537622494
104,0.40837436594350696
105,0.45197727520438535
106,0.43587351769388943
107,0.42952334214093496
108,0.40641413430670276
109,0.3996207502699195
110,0.4419826285629318
111,0.40759239063276503
112,0.42487071028292867
113,0.4097347025177593
114,0.4161421479583037
115,0.4622600951549748
116,0.418836391932766
117,0.41009689819590894
118,0.40479291413661017
119,0.3696486790822338
120,0.4041893131748506
121,0.3899640193120588
122,0.3851857307835045
123,0.402960359232103
124,0.43320552383490246
125,0.4039277000877587
126,0.37941382553186187
127,0.4200833065206963
128,0.41583984360535486
129,0.393395435297856
130,0.4106271159562877
131,0.36903148015673987
132,0.39617787262618476
133,0.3882475430369197
134,0.3982000857374537
135,0.40594340216911723
136,0.40164756889584075
137,0.3779105395089548
138,0.3752927924902825
139,0.33515198871055496
140,0.3593596026857577
141,0.3884722365415411
142,0.39799118498604413
143,0.35784522429688115
144,0.377657014479599
145,0.3779903244108614
146,0.39983905904975336
147,0.37562350091762564
148,0.3747515636042434
149,0.3908469918206865
150,0.3581922440493863
151,0.3685440235221943
152,0.36440889425086304
153,0.358895943621602
154,0.33305365956993244
155,0.39256615378302623
156,0.40762005874186596
157,0.38814221618853584
158,0.3752712338201151
159,0.32614246884903547
160,0.35623115582389947
161,0.3504878109985016
162,0.35749208039771063
163,0.3669792460097264
164,0.32288054854428405
165,0.37619759451787255
166,0.37555018392583295
167,0.3583197618089239
168,0.3782616648443833
169,0.35384390441154456
170,0.3394005327536261
171,0.38624318948259345
172,0.3344617849868759
173,0.36357329026714774
174,0.3618899013551384
175,0.3684939418521451
176,0.3711843571141483
177,0.3323055197277582
178,0.2959292085084872
179,0.30426271329115784
180,0.3284048698104572
